"","db","query","superkingdom"
"141","ncbi","Izimaplasma","Bacteria"
"142","ncbi","JdFR-20",NA
"143","ncbi","JdFR-45",NA
"144","ncbi","JdFR-76",NA
"145","ncbi","JG30a-KF-32",NA
"146","ncbi","JGI-0000079-D21",NA
"147","ncbi","Jindonia","Bacteria"
"148","ncbi","JL-ETNP-F27",NA
"149","ncbi","JL-ETNP-Z34",NA
"150","ncbi","JSC-12",NA
"151","ncbi","KCM-B-112",NA
"152","ncbi","Koukoulia","Bacteria"
"153","ncbi","Kouleothrix","Bacteria"
"154","ncbi","Lachnoclostridium","Bacteria"
"155","ncbi","Lacunisphaera","Bacteria"
"156","ncbi","LB3-76",NA
"157","ncbi","LD29",NA
"158","ncbi","Lentimonas","Bacteria"
"159","ncbi","Litorilituus","Bacteria"
"160","ncbi","LS-NOB",NA
"161","ncbi","Luethyella","Bacteria"
"162","ncbi","Mailhella","Bacteria"
"163","ncbi","Marinilutecoccus",NA
"164","ncbi","MAT-CR-P4-C12",NA
"165","ncbi","MBIC10086",NA
"166","ncbi","MCWD3",NA
"167","ncbi","MD3-55",NA
"168","ncbi","Merdibacter","Bacteria"
"169","ncbi","Mf105b01",NA
"170","ncbi","Milano-WF1B-03",NA
"171","ncbi","Milano-WF1B-42",NA
"172","ncbi","Millionella","Bacteria"
"173","ncbi","MIZ14",NA
"174","ncbi","MIZ17",NA
"175","ncbi","MIZ36",NA
"176","ncbi","ML310M-34",NA
"177","ncbi","ML602J-51",NA
"178","ncbi","mle1-7",NA
"179","ncbi","MM1",NA
"180","ncbi","MM2",NA
"181","ncbi","MND1",NA
"182","ncbi","MSB-1D1",NA
"183","ncbi","MSBL3",NA
"184","ncbi","MSBL7",NA
"185","ncbi","MTP1",NA
"186","ncbi","MWH-Ta3",NA
"187","ncbi","Natronohydrobacter","Bacteria"
"188","ncbi","Negativibacillus","Bacteria"
"189","ncbi","Neo-b11",NA
"190","ncbi","Neosynechococcus","Bacteria"
"191","ncbi","Nissabacter","Bacteria"
"192","ncbi","oc32",NA
"193","ncbi","Oceanobacterium","Bacteria"
"194","ncbi","OLB12",NA
"195","ncbi","OLB13",NA
"196","ncbi","OLB15",NA
"197","ncbi","OLB17",NA
"198","ncbi","OLB8",NA
"199","ncbi","Orrella","Bacteria"
"200","ncbi","P3OB-51",NA
"201","ncbi","Pajaroellobacter","Bacteria"
"202","ncbi","Paramesorhizobium","Bacteria"
"203","ncbi","PAUC26f",NA
"204","ncbi","Pedosphaera","Bacteria"
"205","ncbi","Phocea","Bacteria"
"206","ncbi","Phoenicibacter","Bacteria"
"207","ncbi","pItb-vmat-59",NA
"208","ncbi","Plastorhodobacter","Bacteria"
"209","ncbi","Plot4-2H12",NA
"210","ncbi","pLW-20",NA
"211","ncbi","PMMR1",NA
"212","ncbi","Polymorphum","Bacteria"
"213","ncbi","Procabacter","Bacteria"
"214","ncbi","Profundimonas","Bacteria"
"215","ncbi","Pygmaiobacter","Bacteria"
"216","ncbi","R76-B128",NA
"217","ncbi","RA",NA
"218","ncbi","Raoultibacter","Bacteria"
"219","ncbi","RB41",NA
"220","ncbi","RBG-16-49-21",NA
"221","ncbi","RBG-16-58-14",NA
"222","ncbi","RCP1-48",NA
"223","ncbi","Rubeoparvulum","Bacteria"
"224","ncbi","Ruminiclostridium","Bacteria"
"225","ncbi","Ruminofilibacter","Bacteria"
"226","ncbi","S31",NA
"227","ncbi","s3t2d-1089",NA
"228","ncbi","S5-A14a",NA
"229","ncbi","Sanguibacteroides","Bacteria"
"230","ncbi","SBZC-1223",NA
"231","ncbi","SC103",NA
