Candidatus Mycoplasma haemofelis
Candidatus Mycoplasma haemolamae
Candidatus Mycoplasma haemomacaque
Candidatus Mycoplasma haemominutum
Candidatus Mycoplasma haemomuris
Candidatus Mycoplasma haemomuris
Candidatus Mycoplasma haemomuris
Candidatus Mycoplasma haemosuis
Candidatus Mycoplasma haemovis
Candidatus Mycoplasma haemozalophi
Candidatus Mycoplasma kahanei
Candidatus Mycoplasma ravipulmonis
Candidatus Mycoplasma turicensis
Candidatus Mycoplasma wenyonii
Candidatus Nebulobacter yamunensis
Candidatus Neoehrlichia arcana
Candidatus Neoehrlichia australis
Candidatus Neoehrlichia lotoris
Candidatus Neoehrlichia mikurensis
Candidatus Nitrosoarchaeum koreensis
Candidatus Nitrosoarchaeum limnia
Candidatus Nitrosocaldus yellowstonii
Candidatus Nitrosopumilus koreensis
Candidatus Nitrosopumilus maritimus
Candidatus Nitrosopumilus salaria
Candidatus Nitrosopumilus sediminis
Candidatus Nitrososphaera gargensis
Candidatus Nitrososphaera viennensis
Candidatus Nitrospira bockiana
Candidatus Nitrospira defluvii
Candidatus Nitrosotalea devanaterra
Candidatus Nitrotoga arctica
Candidatus Nostocoida limicola
Candidatus Odyssella thessalonicensis
Candidatus Ovobacter propellens
Candidatus Paenicardinium endonii
Candidatus Parabeggiatoa communis
Candidatus Paracaedibacter acanthamoebae
Candidatus Paracaedibacter symbiosus
Candidatus Paraholospora nucleivisitans
Candidatus Parilichlamydia carangidicola
Candidatus Pasteuria aldrichii
Candidatus Pasteuria usgae
Candidatus Pelagibacter ubique
Candidatus Peptostreptococcus massiliae
Candidatus Phlomobacter fragariae
Candidatus Photodesmus katoptron
Candidatus Phytoplasma 16SrII-U
Candidatus Phytoplasma 16SrVII
Candidatus Phytoplasma allocasuarinae
Candidatus Phytoplasma americanum
Candidatus Phytoplasma asteris
Candidatus Phytoplasma aurantifolia
Candidatus Phytoplasma australasia
Candidatus Phytoplasma australiense
Candidatus Phytoplasma balanitae
Candidatus Phytoplasma brasiliense
Candidatus Phytoplasma caricae
Candidatus Phytoplasma castaneae
Candidatus Phytoplasma cirsii
Candidatus Phytoplasma convolvuli
Candidatus Phytoplasma costaricanum
Candidatus Phytoplasma cynodontis
Candidatus Phytoplasma fragariae
Candidatus Phytoplasma fraxini
Candidatus Phytoplasma graminis
Candidatus Phytoplasma hispanicum
Candidatus Phytoplasma hispanicum
Candidatus Phytoplasma japonicum
Candidatus Phytoplasma luffae
Candidatus Phytoplasma lycopersici
Candidatus Phytoplasma malaysianum
Candidatus Phytoplasma mali
Candidatus Phytoplasma meliae
Candidatus Phytoplasma noviguineense
Candidatus Phytoplasma omanense
Candidatus Phytoplasma oryzae
Candidatus Phytoplasma palmicola
Candidatus Phytoplasma phoenicium
Candidatus Phytoplasma pini
Candidatus Phytoplasma pruni
Candidatus Phytoplasma prunorum
Candidatus Phytoplasma pyri
Candidatus Phytoplasma rhamni
Candidatus Phytoplasma rubi
Candidatus Phytoplasma rubi
Candidatus Phytoplasma SFP-Br02
Candidatus Phytoplasma solani
Candidatus Phytoplasma spartii
Candidatus Phytoplasma sudamericanum
Candidatus Phytoplasma tamaricis
Candidatus Phytoplasma trifolii
Candidatus Phytoplasma ulmi
Candidatus Phytoplasma vitis
Candidatus Phytoplasma wodyetiae
Candidatus Phytoplasma ziziphi
Candidatus Piscichlamydia salmonis
Candidatus Planktoluna difficilis
Candidatus Planktomarina temperata
Candidatus Planktophila limnetica
Candidatus Portiera aleyrodidarum
Candidatus Prevotella massiliensis
Candidatus Procabacter acanthamoebae
Candidatus Profftia tarda
Candidatus Profftia virida
Candidatus Protochlamydia amoebophila
Candidatus Puchtella pedicinophila
Candidatus Puniceispirillum marinum
Candidatus Regiella insecticola
Candidatus Renichlamydia lutjani
Candidatus Rhabdochlamydia crassificans
Candidatus Rhabdochlamydia porcellionis
Candidatus Rhizobium massiliae
Candidatus Rhodoluna limnophila
Candidatus Rhodoluna planktonica
