Halorubellus salinus
Halorubellus litoreus
Halorubrum sfaxense
Haploangium minus
Haploangium rugiseptum
Helcococcus pyogenica
Helicobacter callitrichis
Helicobacter colifelis
Helicobacter heilmannii
Helicobacter muricola
Helicobacter suncus
Helicobacter typhlonicus
Helicobacter westmeadii
Helicobacter winghamensis
Heliorestis acidaminivorans
Heliorestis convoluta
Herbaspirillum massiliense
Hydrogenobacter halophilus
Hydrogenophaga temperata
Hymenobacter tibetensis
Isoptericola salitolerans
Jahnia thaxteri
Janthinobacterium svalbardensis
Jeotgalibacillus soli
Joostella atrarenae
Keratinibaculum paraultunense
Kineococcus endophytica
Kineosphaera nakaumiensis
Kinetoplastibacterium blastocrithidii
Kinetoplastibacterium crithidii
Kitasatosporia grisea
Kitasatosporia papulosa
Klebsiella alba
Kocuria sediminis
Komagatabacter europaeus
Komagatabacter entanii
Komagatabacter hansenii
Komagatabacter intermedius
Komagatabacter kombuchae
Komagatabacter nataicola
Komagatabacter oboediens
Komagatabacter rhaeticus
Komagatabacter saccharivorans
Komagatabacter sucrofermentans
Komagatabacter swingsii
Komagatabacter xylinus
Kosakonia arachidis
Kosakonia cowanii
Kosakonia oryzae
Kosakonia radicincitans
Lactobacillus alvi
Lactobacillus backi
Lactobacillus ginsenosidimutans
Lactobacillus sobrius
Lelliottia amnigena
Lelliottia nimipressuralis
Leptospirillum ferrodiazotrophum
Leptotrichia amnionii
Leptotrichia sanguinegens
Leucobacter kyeonggiensis
Leucobacter margaritiformis
Leucobacter tropicalis
Leucothrix thiophila
Levispirillum itersonii
Levispirillum peregrinum
Litoribacillus peritrichatus
Lutibacterium anuloederans
Lysobacter cookii
Lysobacter daecheongensis
Lysobacter ginsengisoli
Lysobacter lactamgenus
Magnetospirillum bellicus
Mannheimia succiniciproducens
Marichromatium chrysaorae
Marichromatium litoris
Marinilabilia nitratireducens
Marinimicrobium haloxylanilyticum
Marinitalea sucinacia
Marinobacter alkaliphilus
Marinobacter nanhaiticus
Marinobacter squalenivorans
Marinobacterium marisflavi
Marinosulfonomonas methylotropha
Marivita roseacus
Meiothermus rosaceus
Metalliresistens boonkerdii
Methanobacterium curvum
Methanococcus aeolicus
Methanogenium boonei
Methanolobus chelungpuianus
Methanolobus psychrophilus
Methanosaeta pelagica
Methylobacillus rhizosphaerae
Methylobacter alcaliphilus
Methylobacter modestohalophilus
Methylobacterium funariae
Methyloligella halotolerans
Methyloligella solikamskensis
Methylomonas rubra
Methylophaga limanica
Methylophaga natronica
Methylophilus methanolovorus
Methylophilus quaylei
Methylosulfonomonas methylovora
Micavibrio aeruginosavorus
Microbacterium assamensis
Microbacterium nematophilum
Microbacterium pygmaeum
Microbacterium pyrexiae
Microbispora thailandensis
Microbulbifer arenaceous
Microlunatus cavernae
Microlunatus terrae
Micromonospora grisseorubida
Micromonospora miyakonensis
Micromonospora neihuensis
Micromonospora spongicola
Microtetraspora caesia
Mobilifilum chasei
Moorella perchloratireducens
Myceligenerans salitolerans
Mycobacterium alsiense
Mycobacterium barrassiae
Mycobacterium canetti
Mycobacterium chesapeaki
Mycobacterium franklinii
Mycobacterium hackensackense
