Haloarcula aidinensis
Haloarcula californiae
Haloarcula sinaiiensis
Halobacillus hunanensis
Halobacillus thailandensis
Halobacterium salinarium
Haloferax alicantei
Haloincola saccharolytica
Halomonas aidingensis
Halomonas alkalitolerans
Halomonas chromatireducens
Halomonas glaciei
Halomonas marisflavae
Halomonas nitrilicus
Halomonas pantelleriense
Halomonas phocaeensis
Halomonas profundus
Halomonas sediminis
Halomonas socia
Halorubrobacterium coriensis
Halorubrum sfaxense
Haploangium minus
Haploangium rugiseptum
Helcococcus pyogenica
Helicobacter callitrichis
Helicobacter colifelis
Helicobacter muricola
Helicobacter suncus
Helicobacter typhlonicus
Helicobacter westmeadii
Helicobacter winghamensis
Heliorestis acidaminivorans
Heliorestis convoluta
Hydrogenobacter halophilus
Hydrogenophaga temperata
Hyphomicrobium facilis
Isoptericola salitolerans
Jahnia thaxteri
Janthinobacterium svalbardensis
Joostella atrarenae
Ketogulonigenium robustum
Ketogulonigenium vulgare
Kineococcus endophytica
Kineosphaera nakaumiensis
Kinetoplastibacterium blastocrithidii
Kinetoplastibacterium crithidii
Kitasatosporia cystarginea
Kitasatosporia grisea
Kitasatosporia griseola
Kitasatosporia mediocidica
Kitasatosporia papulosa
Kitasatosporia phosalacinea
Kitasatosporia setae
Kocuria sediminis
Komagatabacter entanii
Komagatabacter europaeus
Komagatabacter hansenii
Komagatabacter intermedius
Komagatabacter kombuchae
Komagatabacter nataicola
Komagatabacter oboediens
Komagatabacter rhaeticus
Komagatabacter saccharivorans
Komagatabacter sucrofermentans
Komagatabacter swingsii
Komagatabacter xylinus
Lactobacillus alvi
Lactobacillus backi
Lactobacillus ginsenosidimutans
Lactobacillus rossii
Legionella bozemanii
Leptospirillum ferrodiazotrophum
Leptotrichia amnionii
Leptotrichia sanguinegens
Leucobacter kyeonggiensis
Leucobacter margaritiformis
Leucobacter tropicalis
Leucothrix thiophila
Levispirillum itersonii
Levispirillum peregrinum
Lutibacterium anuloederans
Lysobacter cookii
Lysobacter daecheongensis
Lysobacter lactamgenus
Magnetospirillum bellicus
Mannheimia succiniciproducens
Marichromatium chrysaorae
Marichromatium litoris
Marinilabilia nitratireducens
Marinimicrobium haloxylanilyticum
Marinitalea sucinacia
Marinobacter alkaliphilus
Marinobacter nanhaiticus
Marinobacter squalenivorans
Marinosulfonomonas methylotropha
Marivita roseacus
Megamonas hypermegas
Meiothermus rosaceus
Melisococcus plutonis
Metalliresistens boonkerdii
Methanobacterium curvum
Methanobacterium thermoaggregans
Methanobacterium thermoalcaliphilum
Methanobacterium thermoautotrophicum
Methanoculleus bourgense
Methanoculleus thermophilicus
Methanogenium boonei
Methanohalobium evestigatus
Methanohalophilus oregonense
Methanolobus psychrophilus
Methanomicrococcus blatticola
Methanosaeta pelagica
Methanospirillum hungatii
Methanothermobacter wolfei
Methylobacter alcaliphilus
Methylobacter modestohalophilus
Methylobacterium funariae
Methylomonas rubra
Methylophaga limanica
Methylophaga natronica
Methylophilus methanolovorus
Methylosulfonomonas methylovora
Micavibrio aeruginosavorus
Microbacterium assamensis
Microbacterium nematophilum
Microbacterium pyrexiae
Microbulbifer arenaceous
Microlunatus cavernae
Microlunatus terrae
Micromonospora grisseorubida
Micromonospora miyakonensis
Micromonospora neihuensis
Micromonospora spongicola
Microtetraspora caesia
Mitsuokella multiacidus
Mobilifilum chasei
Moorella perchloratireducens
Myceligenerans salitolerans
Mycobacterium alsiense
Mycobacterium barrassiae
Mycobacterium canetti
Mycobacterium chesapeaki
Mycobacterium hackensackense
Mycobacterium lepromatosis
Mycobacterium mungi
Mycobacterium ratisbonense
Mycobacterium shigaense
Mycobacterium sinense
Mycobacterium tilburgii
Mycobacterium visibilis
Mycoplasma haemosuis
Mycoplasma insons
Mycoplasma phocacerebrale
Mycoplasma phocarhinis
Mycoplasma sphenisci
Mycoplasma volis
Mycoplasma vulturii
Mycoplasma zalophi
Nanoarchaeum equitans
Nanobacterium sanguineum
Natrialba aegyptiaca
Natrialba wudunaoensis
Natronobacterium chahanensis
Natronobacterium innemongoliae
Neisseria skkuensis
Nitratireductor lucknowense
Nitrosococcus watsonii
Nocardioides fastidiosa
Nocardioides panaciterrulae
Nocardiopsis compostus
Nocardiopsis yanglingensis
Nonomuraea aegyptia
Nonomuraea dietzii
Nonomuraea terrinata
Nonomuria africana
Nonomuria angiospora
Nonomuria fastidiosa
Nonomuria ferruginea
Nonomuria flexuosa
Nonomuria helvata
Nonomuria polychroma
Nonomuria pusilla
Nonomuria recticatena
Nonomuria roseola
Nonomuria roseoviolacea
Nonomuria rubra
Nonomuria salmonea
Nonomuria spiralis
Nonomuria turkmeniaca
Nordella oligomobilis
Novosphingobium aromaticivorum
Novosphingobium roseae
Novosphingobium sediminis
Novosphingobium stygiae
Novosphingobium subterraneae
Oceanicoccus sagamiensis
Oceaniovalibus guishaninsula
Oceanobacillus manasiensis
Oceanomonas baumannii
Oceanomonas doudoroffii
Oceanospirillum nioense
Oleomonas sagaranensis
Orientia chuto
Paenibacillus beijingensis
Paenibacillus brassicae
Paenibacillus donghaensis
Paenibacillus durum
Paenibacillus hongkongensis
Paenibacillus marinum
Paenibacillus taohuashanense
Paenibacillus tezpurensis
Paenibacillus tylopili
Paenibacillus tyraminigenes
Paenibacillus xylaniclasticus
Paracoccus beibuensis
Paracoccus ferrooxidans
Paracoccus oceanense
Paracoccus siganidrum
Paracoccus zhejiangensis
Parastreptomyces abscessus
Parvopolyspora pallida
Pasteurella bettii
Pasteurella leonis
Pasteurella mairi
Pectobacterium cacticidum
Pedobacter hainanensis
Pedobacter jeongneungensis
Pedobacter namyangjuensis
Pedobacter xinjiangensis
Pedobacter yonginense
Pedobacter zeaxanthinifaciens
Pelagibacterium nitratireducens
Pelotomaculum isophthalicum
Pelotomaculum terephthalicum
Peptoniphilus grossensis
Phenylobacterium mobile
Phenylobacterium zucineum
Photobacterium atrarenae
Photobacterium marinum
Phycicoccus ochangensis
Piezobacter thermophilus
Pluraplasma granulum
Polyangium brachysporum
Polycyclovorans algicola
Polymorphum
Polymorphum gilvum
Pontibacter rhizosphera
Pontibacter salisaro
Ponticoccus gilvus
Porifericola rhodea
Porphyrobacter meromictius
Porticoccus hydrocarbonoclasticus
Prescottella equi
Prescottia equi
Prevotella massiliensis
Prevotella oulora
Propionibacterium propionicus
Propionivibrio militaris
Prosthecochloris indica
Protochlamydia naegleriophila
Pseudoalteromonas marinoglutinosa
Pseudoalteromonas spiralis
Pseudoalteromonas telluritireducens
Pseudomonas andersonii
Pseudomonas batumici
Pseudomonas butanovora
Pseudomonas guezennei
Pseudomonas halosensibilis
Pseudomonas indoloxydans
Pseudomonas jinanensis
Pseudomonas mesoacidophila
Pseudomonas raguenesii
Pseudomonas siderocapsa
Pseudomonas straminae
Pseudonocardia antimicrobica
Pseudoscillatoria coralii
Pseudoxanthomonas icgebensis
Pseudoxanthomonas jiangsuensis
Psychrobacter muriicola
Psychroflexus lacisalsi
Psychrosinus fermentans
Pyrococcus abyssi
Pyrococcus kodakaraensis
Pyxicoccus fallax
Ralstonia mannitolytica
Rhizobium halotolerans
Rhizobium helanshanense
Rhizobium kunmingense
Rhizobium phenanthrenilyticum
Rhizobium qilianshanense
Rhodanobacter xiangquanii
Rhodoplanes cryptolactis
Rhodopseudomonas boonkerdii
Rhodopseudomonas cryptolactis
Rickettsia heilongjiangii
Rickettsia hulinii
Rickettsia monacensis
Rickettsia mongolotimonae
Rickettsia monteiroi
Rickettsia thailandii
Roseomonas baikalica
Roseospira thiosulfatophila
Rubidimonas crustatorum
Rubrimonas shengliensis
Ruegeria gelatinovora
Saccharopolyspora endophytica
Saccharopolyspora pathumthaniensis
Saccharothrix yanglingensis
Salinicoccus kekensis
Salinicoccus salitudinis
Salinicola zeshunii
Salipiger mucescens
Sarraceniospora aurea
Schleiferella asaccharolytica
Schleiferella harei
Schleiferella indolica
Schleiferella lacrimalis
Serpulina canis
Shewanella massilia
Sideroxydans paludicola
Sinorhizobium chiapanecum
Sinorhizobium xinjiangensis
Sneathia amnii
Sphingobacterium antarcticus
Sphingobacterium composti.
Sphingomonas elodea
Sphingomonas ginsenosidivorax
Sphingomonas humi
Sphingomonas hunanensis
Sphingomonas rosea
Sphingomonas swuensis
Spirillum kriegii
Spirillum winogradskii
Spirosymplokos deltaeiberi
Spongitalea numazuensis
Sporotalea colonica
Staphylococcus pseudolugdunensis
Stappia carboxidovorans
Stappia conradae
Stappia kahanamokuae
Stappia meyerae
Stenotrophomonas panacihumi
Stomatostreptococcus microhalophilus
Streptimonospora salina
Streptococcus difficile
Streptococcus fryi
Streptomyces auranticolor
Streptomyces cervinus
Streptomyces coeruleoaurantiacus
Streptomyces dimorphogenes
Streptomyces erythrochromogenes
Streptomyces gilvospiralis
Streptomyces glebosus
Streptomyces helvoviolaceus
Streptomyces idiomorphus
Streptomyces kashmirensis
Streptomyces kavutarensis
Streptomyces levoris
Streptomyces manipurensis
Streptomyces morookaensis
Streptomyces nanchangensis
Streptomyces nanningensis
Streptomyces neopeptinius
Streptomyces oceani
Streptomyces olivovariabilis
Streptomyces ossamyceticus
Streptomyces qinlingensis
Streptomyces rhizosphaerius
Streptomyces rubellomurinus
Streptomyces sandaensis
Streptomyces sudanensis
Streptomyces tokashikiensis
Streptomyces tokunonensis
Streptomyces unzenensis
Streptomyces viridoflavum
Streptoverticillium acido-carbonicum
Streptoverticillium olivoreticulum
Sufflavibacter maritimus
Sulfolobus tengchongensis
Sulfuriferula plumbophilus
Sulfurospirillum carboxydovorans
Syntrophomonas saponavida
Tannerella forsythensis
Taxeobacter chitinovorans
Taxeobacter gelupurpurascens
Taxeobacter ocellatus
Tenacibaculum halocynthiae
Tenuibacillus halotolerans
Tepidanaerobacter acetatoxydans
Tepidimonas arfidensis
Teredinobacter turnerae
Tessaracoccus profundi
Tetracoccus cechii
Thalassobacter utilis
Thalassospira permensis
Themoanaerobacterium calidifontis
Thermalkalibacillus uzonensis
Thermanaerothrix daxensis
Thermoanaerobacter keratinophilus
Thermobaculum terrenum
Thermococcus aegaeicus
Thermococcus marinus
Thermococcus radiotolerans
Thermodesulfobacterium geofontis
Thermodesulfobacterium mobile
Thermodesulforhabdus norvegicus
Thermogladius shockii
Thermopirellula anaerolimosa
Thermoplasma thiooxidans
Thermotomaculum hydrothermale
Thermus kawarayensis
Thermus profundus
Thermus rehai
Thermus yunnanensis
Thialkalicoccus limnaeus
Thialkalimicrobium aerophilum
Thialkalimicrobium cyclicum
Thialkalimicrobium sibiricum
Thialkalivibrio denitrificans
Thialkalivibrio halophilus
Thialkalivibrio jannaschii
Thialkalivibrio nitratireducens
Thialkalivibrio nitratis
Thialkalivibrio paradoxus
Thialkalivibrio thiocyanoxidans
Thialkalivibrio versutus
Thiobacillus plumbophilus
Thiobacillus prosperus
Thiobacillus sajanensis
Thiocapsa bogorovii
Thiocapsa imhoffii
Thiofractor thiocaminus
Thiomonas arsenivorans
Thiorhodococcus drewsii
Thiorhodococcus minus
Titanospirillum velox
Treponema carateum
Treponema phagedenis
Treponema refringens
Treponema scoliodontum
Treponema vincentii
Treponema zioleckii
Tsukamurella paurometabolum
Tsukamurella strandjordae
Turneria parva
Vibrio cyclotrophicus
Vibrio neocaledonicus
Vibrio pommerensis
Vibrio qinghaiensis
Vibrio shiloi
Vibrio zhanjiangensis
Vibrio zhuhaiensis
Virgibacillus zhanjiangensis
Virgosporangium aurantiacum
Virgosporangium ochraceum
Wangella harbinensis
Wangia profunda
Xanthobacter polyaromaticivorans
Xanthomonas lactamgena
Xenorhabdus japonicus
Xenorhabdus nematophilus
Zobellia galactanovorans
Zooshikella rubidus
