"","db","query","superkingdom"
"2725","ncbi","Peromyscus californicus","Eukaryota"
"2726","ncbi","Persicaria minor","Eukaryota"
"2727","ncbi","Petunia axillaris","Eukaryota"
"2728","ncbi","Petunia integrifolia","Eukaryota"
"2731","ncbi","Phage Gifsy-1","Viruses"
"2732","ncbi","Phage Swp3","Viruses"
"2835","ncbi","Plasmodium vivax","Eukaryota"
"2836","ncbi","Plasmopara viticola","Eukaryota"
"2838","ncbi","Plautia stali","Eukaryota"
"2839","ncbi","Plecoglossus altivelis","Eukaryota"
"2846","ncbi","Pliocardia stearnsii","Eukaryota"
"2847","ncbi","Podiceps cristatus","Eukaryota"
"2848","ncbi","Pogona vitticeps","Eukaryota"
"2856","ncbi","Porites australiensis","Eukaryota"
"2866","ncbi","Prionitis lanceolata","Eukaryota"
"2867","ncbi","Proasellus assaforensis","Eukaryota"
"2868","ncbi","Proasellus cavaticus","Eukaryota"
"2869","ncbi","Proasellus grafi","Eukaryota"
"2870","ncbi","Proasellus ibericus","Eukaryota"
"2871","ncbi","Proasellus meridianus","Eukaryota"
"2872","ncbi","Proasellus parvulus","Eukaryota"
"2873","ncbi","Proasellus racovitzai","Eukaryota"
"2874","ncbi","Proasellus spelaeus","Eukaryota"
"2881","ncbi","Prorocentrum minimum","Eukaryota"
"2979","ncbi","Pseudomasaris vespoides","Eukaryota"
"3021","ncbi","Pseudopleuronectes yokohamae","Eukaryota"
"3040","ncbi","Psyttalia concolor","Eukaryota"
"3041","ncbi","Pueraria montana","Eukaryota"
"3042","ncbi","Punica granatum","Eukaryota"
"3046","ncbi","Quercus robur","Eukaryota"
"3047","ncbi","rainbow trout","Eukaryota"
"3049","ncbi","Ramulus artemis","Eukaryota"
"3053","ncbi","Raphanus sativus","Eukaryota"
"3057","ncbi","Raricirrus beryli","Eukaryota"
"3061","ncbi","Reticulomyxa filosa","Eukaryota"
"3062","ncbi","Rhacophorus dennysi","Eukaryota"
"3063","ncbi","Rhinopithecus roxellana","Eukaryota"
"3071","ncbi","Rhizoctonia solani","Eukaryota"
"3072","ncbi","Rhizopus oryzae","Eukaryota"
"3090","ncbi","Rhopalodia gibba","Eukaryota"
"3091","ncbi","Rhynchophorus ferrugineus","Eukaryota"
"3102","ncbi","Rimicaris exoculata","Eukaryota"
"3107","ncbi","Romanomermis culicivorax","Eukaryota"
"3111","ncbi","Rosa chinensis","Eukaryota"
"3134","ncbi","Saccharina japonica","Eukaryota"
"3137","ncbi","Saccharomyces cerevisiae","Eukaryota"
"3138","ncbi","Saccharomyces pastorianus","Eukaryota"
"3141","ncbi","Saccharum hybrid","Eukaryota"
"3151","ncbi","Sargassum henslowianum","Eukaryota"
"3152","ncbi","Sargassum muticum","Eukaryota"
"3154","ncbi","Scapharca broughtonii","Eukaryota"
"3155","ncbi","Schistosoma rodhaini","Eukaryota"
"3157","ncbi","Schmidtea mediterranea","Eukaryota"
"3158","ncbi","Sclerotinia homoeocarpa","Eukaryota"
"3171","ncbi","Sesamum indicum","Eukaryota"
"3187","ncbi","Sipyloidea sipylus","Eukaryota"
"3188","ncbi","Sitophilus zeamais","Eukaryota"
"3196","ncbi","Solanum lycopersicum","Eukaryota"
"3197","ncbi","Solanum melongena","Eukaryota"
"3198","ncbi","Solanum torvum","Eukaryota"
"3199","ncbi","Solemya elarraichensis","Eukaryota"
"3202","ncbi","Sordaria macrospora","Eukaryota"
"3204","ncbi","Sphaeropthalma orestes","Eukaryota"
"3248","ncbi","Spumella vulgaris","Eukaryota"
"3249","ncbi","Squalius pyrenaicus","Eukaryota"
"3252","ncbi","Stegodyphus tentoriicola","Eukaryota"
"3497","ncbi","Strongylocentrotus purpuratus","Eukaryota"
"3510","ncbi","Sus scrofa","Eukaryota"
"3535","ncbi","Syphacia muris","Eukaryota"
"3536","ncbi","Talaromyces islandicus","Eukaryota"
"3537","ncbi","Talitrus saltator","Eukaryota"
"3539","ncbi","Taphrina deformans","Eukaryota"
"3541","ncbi","Tectona grandis","Eukaryota"
"3542","ncbi","Teleogryllus commodus","Eukaryota"
"3550","ncbi","Tetragonula carbonaria","Eukaryota"
"3551","ncbi","Thalassiosira rotula","Eukaryota"
"3555","ncbi","Theobroma cacao","Eukaryota"
"3597","ncbi","Thlaspi arvense","Eukaryota"
"3598","ncbi","Thyasira flexuosa","Eukaryota"
"3599","ncbi","Thymallus thymallus","Eukaryota"
"3602","ncbi","Tigriopus californicus","Eukaryota"
"3609","ncbi","Toxocara canis","Eukaryota"
"3610","ncbi","Trachelomonas armata","Eukaryota"
"3611","ncbi","Trachelomonas grandis","Eukaryota"
"3612","ncbi","Trachelomonas volvocinopsis","Eukaryota"
"3616","ncbi","Trichinella pseudospiralis","Eukaryota"
"3627","ncbi","Trichuris trichiura","Eukaryota"
"3628","ncbi","Triticum aestivum","Eukaryota"
"3629","ncbi","Triticum urartu","Eukaryota"
"3649","ncbi","Vesicomya cordata","Eukaryota"
"3650","ncbi","Vesicomya lepta","Eukaryota"
"3660","ncbi","Vicia faba","Eukaryota"
"3661","ncbi","Vicugna pacos","Eukaryota"
"3666","ncbi","Vitrella brassicaformis","Eukaryota"
"3667","ncbi","Vollenhovia emeryi","Eukaryota"
"3686","ncbi","Zorotypus caudelli","Eukaryota"
"3687","ncbi","Zoysia japonica","Eukaryota"
