Abies homolepis
Gracilariophila oryzoides
Gracilariopsis andersonii
Gracilariopsis lemaneiformis
Graminella nigrifrons
Grateloupia angusta
Grateloupia catenata
Grateloupia filicina
Grateloupia lanceola
Grateloupia livida
Grateloupia taiwanensis
Grateloupia turuturu
Grylloblatta bifratrilecta
Gyrocarpus americanus
Haemonchus placei
Hedycarya arborea
Hedyosmum arborescens
Helianthus annuus
Helosis cayennensis
Hernandia ovigera
Hesperelaea palmeri
Heterosigma akashiwo
Hevea brasiliensis
Hibiscus syriacus
Hildenbrandia rubra
Hirsutella minnesotensis
Hirtella physophora
Hirtella racemosa
Histiona aroides
Hordeum bulbosum
Hordeum pubiflorum
Hordeum vulgare
Hortonia floribunda
Houttuynia cordata
Humulus lupulus
Huperzia lucidula
Hydnora africana
Hylocomiastrum pyrenaicum
Hyoscyamus niger
Hypnum imponens
Hypomyces aurantius
Hypomyces chrysospermus
Hypseocharis pimpinellifolia
Hypsibius dujardini
Idiospermum australiense
Illicium floridanum
Ipomoea batatas
Ipomoea purpurea
Isaria tenuipes
Isoetes engelmannii
Isoetes histrix
Isoetes taiwanensis
Jakoba bahamiensis
Jakoba libera
Jatropha curcas
Juncus effusus
Juniperus virginiana
Kadsura japonica
Kappaphycus alvarezii
Kappaphycus striatus
Lactoris fernandeziana
Lactuca sativa
Lactuca serriola
Lardizabala biternata
Laurus nobilis
Lecanicillium muscarium
Lecanicillium saksenae
Lecanora strobilina
Lens culinaris
Lepidoceras chilense
Leptogium hirsutum
Leptographium lundbergii
Leptographium truncatum
Letharia columbiana
Licania alba
Licania heteromorpha
Licania sprucei
Linum usitatissimum
Liriodendron tulipifera
Litchi chinensis
Lolium perenne
Lophophytum mirabile
Lotus japonicus
Loxostege sticticalis
Luffa aegyptiaca
Lupinus angustifolius
Lupinus luteus
Lytechinus variegatus
Macadamia integrifolia
Macropereiopus parvus
Magnolia grandiflora
Malawimonas californiana
Malawimonas jakobiformis
Malus domestica
Malus hupehensis
Mangifera indica
Marchantia paleacea
Masdevallia picturata
Mauloutchia chapelieri
Maytenus hookeri
Mazzaella japonica
Medicago truncatula
Megaceros tosanus
Meliosma squamulata
Melita plumulosa
Mesembryanthemum crystallinum
Mesostigma viride
Metarhizium anisopliae
Metarhizium robertsii
Microseira Carmichael-Alabama
Microsporum canis
Millettia pinnata
Mitrastemon kanehirai
Momordica charantia
Monotropastrum humile
Monsonia emarginata
Monsonia vanderietiae
Morus alba
Morus notabilis
Musa acuminata
Musa itinerans
Myristica fragrans
Nageia nagi
Nannizzia nana
Nannochloropsis granulata
Nannochloropsis limnetica
Nannochloropsis oceanica
Nannochloropsis oculata
Neckera menziesii
Nelumbo nucifera
Neolamarckia cadamba
Nephroselmis olivacea
Nicotiana attenuata
Nicotiana benthamiana
Nicotiana otophora
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tabacum/Hyoscyamus
Nicotiana tomentosiformis
Nitella hyalina
Noccaea caerulescens
Nothoceros aenigmaticus
Nothofagus nervosa
Notothylas orbicularis
Nyholmiella gymnostoma
Nyholmiella obtusifolia
Ocimum tenuiflorum
Oenothera berteroana
Oikopleura dioica
Olavius ilvae
Olea europaea
Ophioglossum californicum
Ophioglossum vulgatum
Ophiostoma carpenteri
Ophiostoma minus
Ophiostoma novo-ulmi
Ophiostoma ulmi
Orobanche austrohispanica
Orobanche coerulescens
Orontium aquaticum
Oropetium thomaeum
Orthotrichum bicolor
Orthotrichum callistomum
Orthotrichum diaphanum
Orthotrichum lyellii
Orthotrichum macrocephalum
Orthotrichum pulchellum
Orthotrichum rogeri
Orthotrichum speciosum
Orthotrichum stellatum
Oryza barthii
Oryza glaberrima
Oryza glumipatula
Oryza longistaminata
Oryza meridionalis
Oryza meyeriana
Oryza minuta
Oryza nivara
Oryza officinalis
Oryza punctata
Oryza rufipogon
Oryza sativa
Pachycladon cheesemanii
Pachycladon fastigiatum
Pachysandra procumbens
Paecilomyces hepiali
Paeonia lactiflora
Paeonia suffruticosa
Palmaria palmata
Palpitomonas bilix
Panax ginseng
Pandanus boninensis
Panicum hallii
Paracoccidioides brasiliensis
Parengyodontium album
Parinari campestris
Peltigera dolichorrhiza
Peltigera malacea
Peltigera membranacea
Penicilliopsis zonata
Penicillium brasilianum
Penicillium capsulatum
Penicillium chrysogenum
Penicillium coprophilum
Penicillium digitatum
Penicillium expansum
Penicillium glabrum
Penicillium griseofulvum
Penicillium janthinellum
Penicillium nordicum
Penicillium punicae
Penicillium roqueforti
Penicillium rubens
Penicillium rubrisclerotium
Penicillium solitum
Penicillium tardum
Penicillium thomii
Penstemon centranthifolius
Penstemon grinnellii
Peperomia fosterii
Peperomia obtusifolia
Periglandula ipomoeae
Persicaria minor
Persoonia katerae
Petrophile canescens
Petunia axillaris
Petunia exserta
Petunia integrifolia
Peumus boldus
Phaeoceros laevis
Phalaenopsis aphrodite
Phalaenopsis equestris
Phaseolus acutifolius
Phaseolus vulgaris
Phegopteris hexagonoptera
Phlegmariurus squarrosus
Phlox drummondii
Phoenix dactylifera
Phyllocladus trichomanoides
Phyllostachys praecox
Physcomitrella patens
Phytophthora agathidicida
Phytophthora andina
Phytophthora cinnamomi
Phytophthora infestans
Phytophthora lateralis
Phytophthora mirabilis
Phytophthora multivora
Phytophthora phaseoli
Phytophthora pluvialis
Phytophthora ramorum
Picrorhiza kurrooa
Pilostyles thurberi
Pinus canariensis
Pinus strobus
Pinus sylvestris
Pinus taeda
Piper betle
Pisum sativum
Plantago afra
Plantago atrata
Plantago australis
Plantago coronopus
Plantago lanceolata
Plantago media
Plantago rigida
Plantago rugelii
Plantago sericea
Plasmodium berghei
Plasmodium chabaudi
Plasmodium cynomolgi
Plasmodium falciparum
Plasmodium gaboni
Plasmodium gallinaceum
Plasmodium gonderi
Plasmodium reichenowi
Plasmodium relictum
Plasmodium yoelii
Platanus occidentalis
Plectranthus barbatus
Pleea tenuifolia
Pleurozia purpurea
Pleurozium schreberi
Poa infirma
Pochonia chlamydosporia
Podocarpus costalis
Podophyllum peltatum
Polyalthia suberosa
Polycephalomyces prolificus
Polypodium aureum
Polytrichum commune
Populus euphratica
Populus tremula
Populus trichocarpa
Porites astreoides
Porites australiensis
Porphyra purpurea
Porphyra umbilicalis
Posidonia oceanica
Potamogeton berchtoldii
Primula veris
Prosopis alba
Prototheca wickerhamii
Prunus armeniaca
Prunus mume
Pseudogymnoascus pannorum
Pseudotsuga menziesii
Pterocladia media
Pterocladia mexicana
Pterocladia musciformis
Pterocladia robusta
Ptychomnion cygnisetum
Punica granatum
Pyramimonas parkeae
Pyronema omphalodes
Pyropia endiviifolia
Pyropia fucicola
Pyropia haitanensis
Pyropia kanakaensis
Pyropia nitida
Pyropia perforata
Pyropia tenera
Pyropia yezoensis
Pyrus pyrifolia
Pythium insidiosum
Pythium ultimum
Quercus lobata
Quercus robur
Racomitrium elongatum
Racomitrium emersum
Racomitrium ericoides
Racomitrium lanuginosum
Rafflesia cantleyi
Rafflesia leonardi
Rafflesia pricei
Raphanus sativus
Rauvolfia serpentina
Reclinomonas americana
Rhazya stricta
Rhodymenia pseudopalmata
Rhynchophorus ferrugineus
Rhynchosporium agropyri
Rhynchosporium commune
Rhynchosporium orthosporum
Rhynchosporium secalis
Rhytidiadelphus triquetrus
Rhytidium rugosum
Ricinus communis
Rosa chinensis
Roya obtusa
Rumex acetosa
Rumex palustris
Saccharina japonica
Saccharum hybrid
Saccharum officinarum
Salix purpurea
Salix suchowensis
Salvia miltiorrhiza
Salvia pomifera
Sambucus canadensis
Sanguinaria canadensis
Sanionia uncinata
Sarcandra grandifolia
Sargassum aquifolium
Sargassum fusiforme
Sargassum hemiphyllum
Sargassum henslowianum
Sargassum spinuligerum
Sargassum vachellianum
Sargentodoxa cuneata
Sarocladium implicatum
Saruma henryi
Saururus cernuus
Sceptridium obliquum
Schima mertensiana
Schimmelmannia schousboei
Schisandra sphenanthera
Schizymenia dubyi
Schrenkiella parvula
Sclerospora graminicola
Sclerotinia borealis
Sclerotinia homoeocarpa
Sebdenia flabellata
Secale cereale
Seculamonas ecuadoriensis
Sesamum indicum
Setaria italica
Silene conica
Silene dioica
Silene latifolia
Silene noctiflora
Silene vulgaris
Sinapis arvensis
Sinningia speciosa
Siparuna decipiens
Solanum arcanum
Solanum chacoense
Solanum habrochaites
Solanum incanum
Solanum lycopersicum
Solanum melongena
Solanum pennellii
Solanum pimpinellifolium
Solanum tuberosum
Sorghum bicolor
Spathiphyllum wallisii
Sphagnum angustifolium
Sphagnum aongstroemii
Sphagnum austinii
Sphagnum australe
Sphagnum balticum
Sphagnum bartlettianum
Sphagnum capillifolium
Sphagnum centrale
Sphagnum compactum
Sphagnum contortum
Sphagnum cuspidatum
Sphagnum falcatulum
Sphagnum fallax
Sphagnum fuscum
Sphagnum girgensohnii
Sphagnum lenense
Sphagnum lescurii
Sphagnum magellanicum
Sphagnum majus
Sphagnum obtusum
Sphagnum orientale
Sphagnum palustre
Sphagnum papillosum
Sphagnum portoricense
Sphagnum pylaesii
Sphagnum recurvum
Sphagnum riparium
Sphagnum rubellum
Sphagnum rubiginosum
Sphagnum squarrosum
Sphagnum strictum
Sphagnum subnitens
Sphagnum teres
Sphagnum tumidulum
Sphagnum wulfianum
Spirodela polyrhiza
Spongospora subterranea
Sporobolus stapfianus
Sporolithon durum
Stoneobryum bunyaense
Stoneobryum mirum
Strigamia maritima
Swertia japonica
Syntrichia filaris
Syntrichia ruralis
Syzygium luehmannii
Taihangia rupestris
Takakia lepidozioides
Talaromyces diversus
Talaromyces funiculosus
Talaromyces marneffei
Talaromyces minioluteus
Talaromyces phialosporus
Talaromyces piceae
Talaromyces pinophilus
Talaromyces pittii
Talaromyces purpureogenus
Talaromyces rugulosus
Talaromyces siamensis
Talaromyces variabilis
Taraxacum kok-saghyz
Tasmannia insipida
Tayloria mirabilis
Tectona grandis
Tetracentron sinense
Tetraphis pellucida
Tetraplodon fuegianus
Thecamonas trahens
Theobroma cacao
Thlaspi arvense
Thottea tomentosa
Thymallus thymallus
Tofieldia calyculata
Tolypocladium inegoense
Tolypocladium japonicum
Tolypocladium ophioglossoides
Tolypocladium paradoxum
Tomentypnum nitens
Treubia lacunosa
Trichoderma asperellum
Trichoderma deliquescens
Trichoderma gamsii
Trichoderma reesei
Trichophyton mentagrophytes
Trichophyton rubrum
Trichosanthes kirilowii
Trifolium pratense
Trifolium subterraneum
Triglochin maritima
Trimenia moorei
Tripsacum dactyloides
Triticum aestivum
Triticum timopheevii
Triticum turgidum
Triticum urartu
Trochodendron aralioides
Tsukubamonas globosa
Ulota crispa
Ulota hutchinsiae
Ulota phyllantha
Utricularia gibba
Vaccinium macrocarpon
Veronica agrestis
Verticillium dahliae
Verticillium nonalfalfae
Vicia faba
Vigna angularis
Vigna radiata
Viola uliginosa
Vitis vinifera
Welwitschia mirabilis
Wildemania schizophylla
Withania somnifera
Xanthorhiza simplicissima
Xanthosoma mafaffa
Xerophyta viscosa
Zamia integrifolia
Zantedeschia aethiopica
Zasmidium cellare
Zea luxurians
Zea mays
Ziziphus jujuba
Zoysia japonica
Zygodon viridissimus
