Helicobacter hepaticus
Helicobacter pylori
Hirschia baltica
Hydrocarboniphaga effusa
Hydrogenophaga palleronii
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
Inquilinus limosus
Janthinobacterium lividum
Jeotgalicoccus psychrophilus
Klebsiella oxytoca
Knoellia subterranea
Kocuria palustris
Kocuria rhizophila
Kosmotoga A2
Kosmotoga mrcj
Kurthia gibsonii
Lactobacillus acidipiscis
Lactobacillus agilis
Lactobacillus brevis
Lactobacillus coleohominis
Lactobacillus delbrueckii
Lactobacillus hamsteri
Lactobacillus helveticus
Lactobacillus iners
Lactobacillus manihotivorans
Lactobacillus mucosae
Lactobacillus paralimentarius
Lactobacillus pontis
Lactobacillus reuteri
Lactobacillus ruminis
Lactobacillus salivarius
Lactobacillus vaginalis
Lactobacillus zeae
Lactococcus garvieae
Leeuwenhoekiella marinoflava
Legionella pneumophila
Lentzea albidocapillata
Lentzea violacea
Leptolyngbya frigida
Leptospira biflexa
Leptospirillum ferrodiazotrophum
Leptospirillum ferrooxidans
Leuconostoc mesenteroides
Lewinella cohaerens
Lewinella persicus
Limnohabitans curvus
Loktanella salsilacus
Loktanella vestfoldensis
Luteibacter rhizovicinus
Luteimonas mephitis
Lysinibacillus boronitolerans
Macrococcus caseolyticus
Marinilactibacillus psychrotolerans
Marinobacter bryozoorum
Marinobacter hydrocarbonoclasticus
Marinomonas primoryensis
Megamonas hypermegale
Mesorhizobium huakuii
Metallosphaera sedula
Methanimicrococcus blatticola
Methanobacterium beijingense
Methanobacterium bryantii
Methanobrevibacter arboriphilus
Methanoculleus bourgensis
Methanofollis liminatans
Methanopyrus kandleri
Methanosarcina mazei
Methanothermobacter thermautotrophicus
Methylibium petroleiphilum
Methylobacterium adhaesivum
Methylobacterium hispanicum
Methylobacterium komagatae
Methylobacterium mesophilicum
Methylobacterium organophilum
Methylomicrobium buryatense
Methylosinus sporium
Methylotenera mobilis
Microbacterium aurum
Microbacterium barkeri
Microbacterium chocolatum
Microbacterium gubbeenense
Microbacterium lacticum
Microbacterium maritypicum
Microbispora rosea
Microbulbifer elongatus
Micrococcus luteus
Microvirgula aerodenitrificans
Mitsuaria chitosanitabida
Mitsuokella multacida
Moraxella ovis
Morganella morganii
Moryella indoligenes
Mucispirillum schaedleri
Mycobacterium arupense
Mycobacterium celatum
Mycobacterium gordonae
Mycobacterium llatzerense
Mycobacterium vaccae
Mycoplasma haemobos
Mycoplasma haemominutum
Mycoplasma hyorhinis
Mycoplasma turicensis
Mycoplasma zalophi
Myroides odoratimimus
Nannocystis exedens
Nautella italica
Neisseria cinerea
Neisseria subflava
Nevskia ramosa
Nitrosopumilus pIVWA5
Nitrosovibrio tenuis
Nocardia concava
Nocardioides plantarum
Nocardiopsis composta
Nocardiopsis exhalans
Nodularia sphaerocarpa
Nonomuraea roseoviolacea
Novosphingobium capsulatum
Novosphingobium resinovorum
Novosphingobium stygium
Oceanobacillus oncorhynchi
Ochrobactrum intermedium
Octadecabacter antarcticus
Oscillatoria spongeliae
Oscillochloris trichoides
Oscillospira guilliermondii
Oxalobacter formigenes
Paenibacillus alvei
Paenibacillus amylolyticus
Paenibacillus barengoltzii
Paenibacillus chitinolyticus
Paenibacillus chondroitinus
Paenibacillus curdlanolyticus
Paenibacillus edaphicus
Paenibacillus illinoisensis
Paenibacillus larvae
Paenibacillus lautus
Paenibacillus lentimorbus
Paenibacillus macerans
Paenibacillus mucilaginosus
Paenibacillus stellifer
Parabacteroides distasonis
Parabacteroides gordonii
Parachlamydia acanthamoebae
Paracoccus aminovorans
Paracoccus marcusii
Paracoccus zeaxanthinifaciens
Pasteurella multocida
Pediococcus acidilactici
Pedobacter cryoconitis
Pedomicrobium australicum
Pelobacter carbinolicus
Pelodictyon luteolum
Pelomonas puraquae
Peptostreptococcus anaerobius
Persicobacter diffluens
Phaeobacter gallaeciensis
Phaeospirillum fulvum
Phormidium animale
Phormidium murrayii
Photobacterium angustum
Photobacterium damselae
Photobacterium rosenbergii
Photorhabdus temperata
Pilimelia terevasa
Piscirickettsia salmonis
Planococcus maitriensis
Pleomorphomonas oryzae
Plesiomonas shigelloides
Polaribacter irgensii
Polynucleobacter cosmopolitanus
Porphyromonas endodontalis
Prauserella rugosa
Prevotella copri
Prevotella intermedia
Prevotella melaninogenica
Prevotella nanceiensis
Prevotella nigrescens
Prevotella pallens
Prevotella ruminicola
Prevotella stercorea
Prevotella tannerae
Prochlorothrix hollandica
Propionibacterium acnes
Propionibacterium granulosum
Prosthecobacter debontii
Providencia stuartii
Pseudidiomarina homiensis
Pseudoalteromonas luteoviolacea
Pseudoalteromonas piscicida
Pseudoalteromonas porphyrae
Pseudoalteromonas ruthenica
Pseudoalteromonas tunicata
Pseudoclavibacter bifida
Pseudomonas alcaligenes
Pseudomonas balearica
Pseudomonas citronellolis
Pseudomonas fragi
Pseudomonas nitroreducens
Pseudomonas stutzeri
Pseudomonas umsongensis
Pseudomonas veronii
Pseudomonas viridiflava
Pseudonocardia halophobica
Pseudoxanthomonas mexicana
Psychrobacter celer
Psychrobacter marincola
Psychrobacter pacificensis
Psychrobacter pulmonis
Psychroflexus torquis
Pyramidobacter piscolens
Rathayibacter caricis
Rhizobium leguminosarum
Rhizobium multihospitium
Rhodanobacter lindaniclasticus
Rhodobacter sphaeroides
Rhodobium orientis
Rhodococcus fascians
Rhodococcus globerulus
Rhodococcus ruber
Rhodoplanes elegans
Rhodovulum marinum
Roseateles depolymerans
Roseburia faecis
Roseomonas mucosa
Rothia aeria
Rothia dentocariosa
Rothia mucilaginosa
Rubrivivax gelatinosus
Ruminococcus bromii
Ruminococcus callidus
Ruminococcus flavefaciens
