"","db","query","superkingdom"
"172","ncbi","Luethyella","Bacteria"
"173","ncbi","Mailhella","Bacteria"
"174","ncbi","Marinilutecoccus",NA
"175","ncbi","MAT-CR-P4-C12",NA
"176","ncbi","MBIC10086",NA
"177","ncbi","MCWD3",NA
"178","ncbi","MD3-55",NA
"179","ncbi","Merdibacter","Bacteria"
"180","ncbi","Mf105b01",NA
"181","ncbi","Milano-WF1B-03",NA
"182","ncbi","Milano-WF1B-42",NA
"183","ncbi","Millionella","Bacteria"
"184","ncbi","MIZ14",NA
"185","ncbi","MIZ17",NA
"186","ncbi","MIZ36",NA
"187","ncbi","ML310M-34",NA
"188","ncbi","ML602J-51",NA
"189","ncbi","mle1-7",NA
"190","ncbi","MM1",NA
"191","ncbi","MM2",NA
"192","ncbi","MND1",NA
"193","ncbi","MSB-1D1",NA
"194","ncbi","MSBL3",NA
"195","ncbi","MSBL7",NA
"196","ncbi","MTP1",NA
"197","ncbi","MWH-Ta3",NA
"198","ncbi","Natronohydrobacter","Bacteria"
"199","ncbi","Negativibacillus","Bacteria"
"200","ncbi","Neo-b11",NA
"201","ncbi","Neosynechococcus","Bacteria"
"202","ncbi","Nissabacter","Bacteria"
"203","ncbi","oc32",NA
"204","ncbi","Oceanobacterium","Bacteria"
"205","ncbi","OLB12",NA
"206","ncbi","OLB13",NA
"207","ncbi","OLB15",NA
"208","ncbi","OLB17",NA
"209","ncbi","OLB8",NA
"210","ncbi","Orrella","Bacteria"
"211","ncbi","P3OB-51",NA
"212","ncbi","Pajaroellobacter","Bacteria"
"213","ncbi","Paramesorhizobium","Bacteria"
"214","ncbi","PAUC26f",NA
"215","ncbi","Pedosphaera","Bacteria"
"216","ncbi","Phocea","Bacteria"
"217","ncbi","Phoenicibacter","Bacteria"
"218","ncbi","pItb-vmat-59",NA
"219","ncbi","Plastorhodobacter","Bacteria"
"220","ncbi","Plot4-2H12",NA
"221","ncbi","pLW-20",NA
"222","ncbi","PMMR1",NA
"223","ncbi","Polymorphum","Bacteria"
"224","ncbi","Procabacter","Bacteria"
"225","ncbi","Profundimonas","Bacteria"
"226","ncbi","Pygmaiobacter","Bacteria"
"227","ncbi","R76-B128",NA
"228","ncbi","RA",NA
"229","ncbi","Raoultibacter","Bacteria"
"230","ncbi","RB41",NA
