550237,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
513954,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
547180,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
616154,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
728920,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
655788,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
668466,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
513232,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
546156,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
565658,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
562344,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
804577,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
644223,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
665159,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
684194,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
746134,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
734009,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
723981,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
568951,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
700812,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
431327,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
83832,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
100523,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
1126064,Candidatus Koribacter,Candidatus Koribacter versatilis
295454,Candidatus Methylacidiphilum,Candidatus Methylacidiphilum infernorum
301652,Candidatus Methylacidiphilum,Candidatus Methylacidiphilum infernorum
241776,Candidatus Methylacidiphilum,Candidatus Methylacidiphilum infernorum
256126,Candidatus Methylacidiphilum,Candidatus Methylacidiphilum infernorum
814889,Candidatus Aquiluna,Candidatus Aquiluna rubra
669547,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
19222,Candidatus Portiera,Candidatus Portiera aleyrodidarum
726864,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
647619,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
799891,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
725266,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
564501,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
572345,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
1142,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
75314,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
102378,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
100051,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
45484,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
643004,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
1145,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
41594,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
211536,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
246419,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
76642,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
74966,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
237446,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
1111,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
100781,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
104825,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
101770,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1170
1148,Candidatus Nitrososphaera,Candidatus Nitrososphaera gargensis
199880,Candidatus Liberibacter,Candidatus Liberibacter africanus
12524,Candidatus Microthrix,Candidatus Microthrix parvicella
12527,Candidatus Microthrix,Candidatus Microthrix parvicella
278455,Candidatus Neoehrlichia,Candidatus Neoehrlichia mikurensis
4392742,Candidatus Aquiluna,Candidatus Aquiluna rubra
4450901,Candidatus Aquiluna,Candidatus Aquiluna rubra
755399,Candidatus Aquiluna,Candidatus Aquiluna rubra
30439,Candidatus Glomeribacter,Candidatus Glomeribacter gigasporarum
50390,Candidatus Glomeribacter,Candidatus Glomeribacter gigasporarum
101068,Candidatus Phytoplasma,Candidatus Phytoplasma solani
100909,Candidatus Phytoplasma,Candidatus Phytoplasma solani
103893,Candidatus Phytoplasma,Candidatus Phytoplasma solani
