"","db","query","superkingdom"
"1686","ncbi","Farfantepenaeus aztecus","Eukaryota"
"1687","ncbi","Fasciola hepatica","Eukaryota"
"1689","ncbi","Felis catus","Eukaryota"
"1715","ncbi","Formica aquilonia","Eukaryota"
"1716","ncbi","Formica cinerea","Eukaryota"
"1717","ncbi","Formica exsecta","Eukaryota"
"1718","ncbi","Formica fusca","Eukaryota"
"1719","ncbi","Formica pressilabris","Eukaryota"
"1720","ncbi","Formica truncorum","Eukaryota"
"1725","ncbi","Frankliniella occidentalis","Eukaryota"
"1733","ncbi","Gadus morhua","Eukaryota"
"1736","ncbi","Galloisiana yuasai","Eukaryota"
"1737","ncbi","Gambierdiscus polynesiensis","Eukaryota"
"1739","ncbi","Gammarus chevreuxi","Eukaryota"
"1740","ncbi","Gammarus pulex","Eukaryota"
"1762","ncbi","Gerris buenoi","Eukaryota"
"1765","ncbi","Gleditsia sinensis","Eukaryota"
"1766","ncbi","Globodera pallida","Eukaryota"
"1772","ncbi","Glossina austeni","Eukaryota"
"1773","ncbi","Glossina fuscipes","Eukaryota"
"1777","ncbi","Glycera dibranchiata","Eukaryota"
"1778","ncbi","Glycera tridactyla","Eukaryota"
"1785","ncbi","Gossypium hirsutum","Eukaryota"
"1794","ncbi","Gryllus firmus","Eukaryota"
"1796","ncbi","Haemonchus placei","Eukaryota"
"1804","ncbi","Haliotis discus","Eukaryota"
"1889","ncbi","Halyomorpha halys","Eukaryota"
"1907","ncbi","Heliconius cydno","Eukaryota"
"1908","ncbi","Heliconius elevatus","Eukaryota"
"1909","ncbi","Heliconius hecale","Eukaryota"
"1910","ncbi","Heliconius ismenius","Eukaryota"
"1911","ncbi","Heliconius melpomene","Eukaryota"
"1912","ncbi","Heliconius numata","Eukaryota"
"1913","ncbi","Heliconius pardalinus","Eukaryota"
"1914","ncbi","Heliconius timareta","Eukaryota"
"1918","ncbi","Hermannia gibba","Eukaryota"
"1919","ncbi","Heterorhabditis indica","Eukaryota"
"1920","ncbi","Hevea brasiliensis","Eukaryota"
"1921","ncbi","Hirudo medicinalis","Eukaryota"
"1922","ncbi","Histoplasma capsulatum","Eukaryota"
"1926","ncbi","Homalodisca vitripennis","Eukaryota"
"1927","ncbi","Hordeum vulgare","Eukaryota"
"1932","ncbi","Humulus lupulus","Eukaryota"
"1933","ncbi","Hyalella azteca","Eukaryota"
"1934","ncbi","Hyaloperonospora arabidopsidis","Eukaryota"
"1935","ncbi","Hydra vulgaris","Eukaryota"
"1942","ncbi","Hylaeus variegatus","Eukaryota"
"1943","ncbi","Hymenopellis incognita","Eukaryota"
"1948","ncbi","Hypsibius dujardini","Eukaryota"
"1949","ncbi","Ictalurus punctatus","Eukaryota"
"1967","ncbi","Ixodes scapularis","Eukaryota"
"1979","ncbi","Juncus effusus","Eukaryota"
"2035","ncbi","Larimichthys crocea","Eukaryota"
"2037","ncbi","Latrodectus geometricus","Eukaryota"
"2046","ncbi","Lepidonotothen nudifrons","Eukaryota"
"2047","ncbi","Lepisosteus oculatus","Eukaryota"
"2078","ncbi","Litopenaeus vannamei","Eukaryota"
"2080","ncbi","Locusta migratoria","Eukaryota"
"2087","ncbi","Lucilia cuprina","Eukaryota"
"2091","ncbi","Lygus lineolaris","Eukaryota"
"2107","ncbi","Lytechinus variegatus","Eukaryota"
"2111","ncbi","Macrotyloma uniflorum","Eukaryota"
"2117","ncbi","Malaclemys terrapin","Eukaryota"
"2158","ncbi","Mastotermes darwiniensis","Eukaryota"
"2159","ncbi","Medauroidea extradentata","Eukaryota"
"2161","ncbi","Megalopta genalis","Eukaryota"
"2164","ncbi","Mengenilla moldrzyki","Eukaryota"
"2187","ncbi","Methocha articulata","Eukaryota"
"2218","ncbi","Microbotryum lychnidis-dioicae","Eukaryota"
"2219","ncbi","Microbotryum violaceum","Eukaryota"
"2283","ncbi","Mischocyttarus flavitarsis","Eukaryota"
"2287","ncbi","Monomorium pharaonis","Eukaryota"
"2293","ncbi","Mucor ambiguus","Eukaryota"
"2295","ncbi","Murgantia histrionica","Eukaryota"
"2343","ncbi","Naganishia albida","Eukaryota"
"2344","ncbi","Nannochloropsis gaditana","Eukaryota"
"2345","ncbi","Nannochloropsis oceanica","Eukaryota"
"2347","ncbi","Nannospalax galili","Eukaryota"
"2376","ncbi","Nephila clavata","Eukaryota"
"2381","ncbi","Nicotiana benthamiana","Eukaryota"
"2422","ncbi","Noccaea caerulescens","Eukaryota"
"2491","ncbi","Oikopleura dioica","Eukaryota"
"2497","ncbi","Olavius algarvensis","Eukaryota"
"2498","ncbi","Olavius ilvae","Eukaryota"
"2500","ncbi","Oncorhynchus mykiss","Eukaryota"
"2501","ncbi","Ophthalmotilapia ventralis","Eukaryota"
"2504","ncbi","Oreochromis niloticus","Eukaryota"
"2507","ncbi","Ornithodoros moubata","Eukaryota"
"2509","ncbi","Oryza sativa","Eukaryota"
"2510","ncbi","Oryzias latipes","Eukaryota"
"2526","ncbi","Osteoglossum bicirrhosum","Eukaryota"
"2527","ncbi","Ostrinia furnacalis","Eukaryota"
"2554","ncbi","Palythoa caribaeorum","Eukaryota"
"2555","ncbi","Panicum virgatum","Eukaryota"
"2578","ncbi","Paramecium biaurelia","Eukaryota"
"2581","ncbi","Parastrongyloides trichosuri","Eukaryota"
"2582","ncbi","Paratrimastix pyriformis","Eukaryota"
"2588","ncbi","Paulinella chromatophora","Eukaryota"
"2589","ncbi","Paulinella longichromatophora","Eukaryota"
"2590","ncbi","Paulinella micropora","Eukaryota"
"2601","ncbi","Pemphredon lugens","Eukaryota"
"2602","ncbi","Penicillium brasilianum","Eukaryota"
"2610","ncbi","Periplaneta americana","Eukaryota"
"2611","ncbi","Peromyscus californicus","Eukaryota"
"2612","ncbi","Persicaria minor","Eukaryota"
"2613","ncbi","Petunia axillaris","Eukaryota"
"2614","ncbi","Petunia integrifolia","Eukaryota"
"2617","ncbi","Phage Gifsy-1","Viruses"
"2618","ncbi","Phage Swp3","Viruses"
"2720","ncbi","Plasmodium vivax","Eukaryota"
"2721","ncbi","Plasmopara viticola","Eukaryota"
"2723","ncbi","Plecoglossus altivelis","Eukaryota"
"2730","ncbi","Podiceps cristatus","Eukaryota"
"2731","ncbi","Pogona vitticeps","Eukaryota"
"2738","ncbi","Porites australiensis","Eukaryota"
"2748","ncbi","Proasellus assaforensis","Eukaryota"
"2749","ncbi","Proasellus cavaticus","Eukaryota"
"2750","ncbi","Proasellus grafi","Eukaryota"
"2751","ncbi","Proasellus ibericus","Eukaryota"
"2752","ncbi","Proasellus meridianus","Eukaryota"
"2753","ncbi","Proasellus parvulus","Eukaryota"
"2754","ncbi","Proasellus racovitzai","Eukaryota"
"2755","ncbi","Proasellus spelaeus","Eukaryota"
"2761","ncbi","Prorocentrum minimum","Eukaryota"
"2863","ncbi","Pseudomasaris vespoides","Eukaryota"
"2900","ncbi","Pseudopleuronectes yokohamae","Eukaryota"
"2916","ncbi","Psyttalia concolor","Eukaryota"
"2917","ncbi","Pueraria montana","Eukaryota"
"2918","ncbi","Punica granatum","Eukaryota"
"2922","ncbi","Quercus robur","Eukaryota"
"2924","ncbi","Ramulus artemis","Eukaryota"
"2927","ncbi","Raphanus sativus","Eukaryota"
"2933","ncbi","Reticulomyxa filosa","Eukaryota"
"2934","ncbi","Rhacophorus dennysi","Eukaryota"
"2935","ncbi","Rhinopithecus roxellana","Eukaryota"
"2947","ncbi","Rhizoctonia solani","Eukaryota"
"2948","ncbi","Rhizopus oryzae","Eukaryota"
"2966","ncbi","Rhynchophorus ferrugineus","Eukaryota"
"2976","ncbi","Rimicaris exoculata","Eukaryota"
"2981","ncbi","Romanomermis culicivorax","Eukaryota"
"2985","ncbi","Rosa chinensis","Eukaryota"
"3006","ncbi","Saccharina japonica","Eukaryota"
"3009","ncbi","Saccharomyces cerevisiae","Eukaryota"
"3010","ncbi","Saccharomyces pastorianus","Eukaryota"
"3013","ncbi","Saccharum hybrid","Eukaryota"
"3023","ncbi","Sargassum henslowianum","Eukaryota"
"3024","ncbi","Sargassum muticum","Eukaryota"
"3026","ncbi","Scapharca broughtonii","Eukaryota"
"3027","ncbi","Schistosoma rodhaini","Eukaryota"
"3029","ncbi","Schmidtea mediterranea","Eukaryota"
"3030","ncbi","Sclerotinia homoeocarpa","Eukaryota"
"3046","ncbi","Sesamum indicum","Eukaryota"
"3062","ncbi","Sipyloidea sipylus","Eukaryota"
"3063","ncbi","Sitophilus zeamais","Eukaryota"
"3069","ncbi","Solanum lycopersicum","Eukaryota"
"3070","ncbi","Solanum melongena","Eukaryota"
"3071","ncbi","Solanum torvum","Eukaryota"
"3073","ncbi","Sordaria macrospora","Eukaryota"
"3075","ncbi","Sphaeropthalma orestes","Eukaryota"
"3123","ncbi","Spumella vulgaris","Eukaryota"
"3124","ncbi","Squalius pyrenaicus","Eukaryota"
"3127","ncbi","Stegodyphus tentoriicola","Eukaryota"
"3383","ncbi","Strongylocentrotus purpuratus","Eukaryota"
"3394","ncbi","Sus scrofa","Eukaryota"
"3416","ncbi","Syphacia muris","Eukaryota"
"3417","ncbi","Talaromyces islandicus","Eukaryota"
"3418","ncbi","Talitrus saltator","Eukaryota"
"3421","ncbi","Tectona grandis","Eukaryota"
"3422","ncbi","Teleogryllus commodus","Eukaryota"
"3430","ncbi","Tetragonula carbonaria","Eukaryota"
"3432","ncbi","Thalassiosira rotula","Eukaryota"
"3437","ncbi","Theobroma cacao","Eukaryota"
"3476","ncbi","Thlaspi arvense","Eukaryota"
"3477","ncbi","Thymallus thymallus","Eukaryota"
"3480","ncbi","Tigriopus californicus","Eukaryota"
"3487","ncbi","Toxocara canis","Eukaryota"
"3488","ncbi","Trachelomonas armata","Eukaryota"
"3489","ncbi","Trachelomonas grandis","Eukaryota"
"3490","ncbi","Trachelomonas volvocinopsis","Eukaryota"
"3494","ncbi","Trichinella pseudospiralis","Eukaryota"
"3506","ncbi","Trichuris trichiura","Eukaryota"
"3507","ncbi","Triticum aestivum","Eukaryota"
"3508","ncbi","Triticum urartu","Eukaryota"
"3535","ncbi","Vicia faba","Eukaryota"
"3536","ncbi","Vicugna pacos","Eukaryota"
"3541","ncbi","Vitrella brassicaformis","Eukaryota"
"3542","ncbi","Vollenhovia emeryi","Eukaryota"
"3561","ncbi","Zorotypus caudelli","Eukaryota"
"3562","ncbi","Zoysia japonica","Eukaryota"
