Clostridium	thermosulfurogenes		33:896	orthographically incorrect name	Schink and Zeikus 1983		1		783679	782527
Colwellia	psychroerythrus		38:328	orthographically incorrect name	(ex D'Aoust and Kushner 1972) Deming et al. 1988	nom. corrig. IJSB 48:1073*	1		783685	775071
Corynebacterium	tuscaniae		56:2025	orthographically incorrect name	Riegel et al. 2006		1, +		785498	785465
Corynebacterium	variabilis		37:287*	orthographically incorrect name	(Müller 1961) Collins 1987	nom. corrig. IJSB 48:1073*	1		783701	775267
Cyclobacterium	marinus		40:346*	orthographically incorrect name	(Raj 1976) Raj and Maloy 1990		1		783718	775347
Defluvibacter	lusatiae		49:1325	orthographically incorrect name	Fritsche et al. 1999	nom. corrig.: IJSB 49:1325	1		783723	788110
Defluvicoccus			55:2109*	orthographically incorrect name	Maszenan et al. 2005				517218	515477
Defluvicoccus	vanus		55:2109*	orthographically incorrect name	Maszenan et al. 2005		1		783724	775448
Desulfobacter	giganteus		38:328	orthographically incorrect name	Esnault et al. 1988	error in List No 26; should read Desulfovibrio	1	8601, DSM 4123	783729	775681
Desulfomicrobium	baculatus		44:370	orthographically incorrect name	(Rozanova and Nazina 1984) Rozanova et al. 1994	nom. corrig. IJSB 48:1073*	1		783730	775583
Desulforhabdus	amnigenus		47:1274	orthographically incorrect name	Oude Elferink et al. 1997		1		783732	775604
Desulfosarcina	cetonicum		56:2	orthographically incorrect name	(Galushko and Rozanova 1994) Kuever et al. 2006		1		783733	775608
Desulfovibrio	alcoholovorans		45:879	orthographically incorrect name	Qatibi et al. 1995	nom. corrig.: IJSB 49:639*	1		783736	775656
Desulfovibrio	fructosovorans		40:105	orthographically incorrect name	Ollivier et al. 1990	nom. corrig.: IJSB 49:639*	1		783739	775679
Dictyoglomus	turgidus		45:879	orthographically incorrect name	Svetlichny and Svetlichnayà 1995	nom. corrig. IJSB 48:1073*	1		783745	775775
Erwinia	persicinus		40:382*	orthographically incorrect name	Hao et al. 1990	nom. corrig. IJSB 48:1073*	1, p		783801	783800
Filobacillus	milensis		51:430*	orthographically incorrect name	Schlesner et al. 2001		1		783839	776205
Flavobacterium	halmephilium		30:300 (AL)	orthographically incorrect name	Elazari-Volcani 1940	name corrected IJSB 34:509* but misspelling retained in AL amended edition 1989	1		783848	776766
Fusobacterium	plauti		30:303 (AL)	orthographically incorrect name	Seguin 1928		1	ATCC 29863, DSM 4000	783886	788422
Gordona			39:371	orthographically incorrect name	(ex Tsukamura) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*			515719	515720
Gordona	aichiensis		44:772*	orthographically incorrect name	(Tsukamura 1983) Klatte et al. 1994	nom. corrig.: IJSB 47:485*	2		783917	776577
Gordona	amarae		44:771*	orthographically incorrect name	(Lechevalier and Lechevalier 1974) Klatte et al. 1994	nom. corrig.: IJSB 47:485*	1		783918	776579
Gordona	bronchialis		39:371	orthographically incorrect name	(Tsukamura 1971) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*	2		783919	776583
Gordona	hirsuta		46:879*	orthographically incorrect name	Klatte et al. 1996	nom. corrig.: IJSB 47:485*	1		783920	776587
Gordona	hydrophobica		45:547*	orthographically incorrect name	Bendinger et al. 1995	nom. corrig.: IJSB 47:485*	1		783921	776588
Gordona	rubropertinctus		39:371	orthographically incorrect name	(Hefferan 1904) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*	1		783922	776598
Gordona	sputi		39:371	orthographically incorrect name	(Tsukamura 1978) Stackebrandt et al. 1989 emend. Riegel et al. 1994	nom. corrig.: IJSB 47:485*	2		783923	776603
Gordona	terrae		39:371	orthographically incorrect name	(Tsukamura 1971) Stackebrandt et al. 1989	nom. corrig.: IJSB 47:485*	2		783924	776604
Gordonia	rubropertinctus		39:371	orthographically incorrect name	(Hefferan 1904) Stackebrandt et al. 1989	nom. corrig. IJSB 48:1073*	1		783925	776598
Halobacterium	salinarium		30:307 (AL)	orthographically incorrect name	(Harrison and Kennedy 1922) Elazari-Volcani 1957	nom. corrig.: IJSB 46:347*	1	ATCC 33171, DSM 3754, NCMB 764, NRC 34002	783961	776711
Haloincola	saccharolytica		42:511	orthographically incorrect name	Zhilina et al. 1992	nom. corrig. IJSB 48:1073*	1		783966	776665
Haloincola	saccharolytica	saccharolytica	42:511	orthographically incorrect name	Zhilina et al. 1992 emend. Cayol et al. 1994	nom. corrig. IJSB 48:1073*	1		783967	776665
Haloincola	saccharolytica	senegalensis	44:810*	orthographically incorrect name	Cayol et al. 1994	nom. corrig. IJSB 48:1073*	1		783968	776666
Halomonas	marisflavae		51:1176*	orthographically incorrect name	Yoon et al. 2001		1		783973	787716
Halomonas	pantelleriense		47:601	orthographically incorrect name	Romano et al. 1997	nom. corrig. IJSB 48:1073*	1		783974	776783
Halorubrobacterium	coriensis		46:625	orthographically incorrect name	Kamekura and Dyall-Smith 1996	name corrected on the occasion of validation	1		783975	776808
Hyphomicrobium	facilis		39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		784031	784028
Hyphomicrobium	facilis	facilis	39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		784032	776973
Hyphomicrobium	facilis	tolerans	39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		784033	784029
Hyphomicrobium	facilis	ureaphilum	39:495	orthographically incorrect name	Hirsch 1989	nom. corrig. IJSB 48:1073*	1		776974	784030
Ketogulonigenium			51:1068*	orthographically incorrect name	Urbance et al. 2001				517259	517258
Ketogulonigenium	robustum		51:1069*	orthographically incorrect name	Urbance et al. 2001		1		784045	784043
Ketogulonigenium	vulgare		51:1069*	orthographically incorrect name	Urbance et al. 2001		1		784046	784044
Kitasatosporia			33:672	orthographically incorrect name	Omura et al. 1983				515889	517119
Kitasatosporia	cystarginea		42:327	orthographically incorrect name	Kusakabe and Isono 1992	nom. corrig.	1		777137	777120
Kitasatosporia	griseola		35:535	orthographically incorrect name	Takahashi et al. 1985	nom. corrig.	1		777138	777122
Kitasatosporia	mediocidica		38:287*	orthographically incorrect name	Labeda 1988	nom. corrig.	1		777140	777124
Kitasatosporia	phosalacinea		35:535	orthographically incorrect name	Takahashi et al. 1985	nom. corrig.	1		777143	781936
Kitasatosporia	setae		33:672; 35:221*	orthographically incorrect name	Omura et al. 1983	nom. corrig.	1		777144	777133
Lactobacillus	rossii		55:39*	orthographically incorrect name	Corsetti et al. 2005		1		784068	777385
Legionella	bozemanii		30:676	orthographically incorrect name	Brenner et al. 1980		2		784085	776305
Megamonas	hypermegas		33:438	orthographically incorrect name	(Harrison and Hansen 1963) Shah and Collins 1983	nom. corrig. IJSB 48:1073*	1		784191	777743
Melisococcus			33:672	orthographically incorrect name	Bailey and Collins 1983	should read MELISSOCOCCUS in Validation List No. 11			517274	517275
Melisococcus	plutonis		33:672	orthographically incorrect name	(ex White 1912) Bailey and Collins 1983	should read Melissococcus pluton in Validation List No. 11	1		784192	784194
Methanobacterium	thermoaggregans		38:221	orthographically incorrect name	Blotevogel and Fischer 1988		1		777806	777803
Methanobacterium	thermoalcaliphilum		38:220	orthographically incorrect name	Blotevogel et al. 1988		1		777807	777945
Methanobacterium	thermoautotrophicum		30:318 (AL)	orthographically incorrect name	Zeikus and Wolfe 1972		1		777809	777945
Methanoculleus	bourgense		40:121*	orthographically incorrect name	(Ollivier et al. 1986) Maestrojuán et al. 1990	nom. corrig. IJSB 48:1073*	1		784212	777866
