Clavibacter	michiganense	sepedonicum	34:113*	orthographically incorrect name	(Spieckermann and Kotthoff 1914) Davis et al. 1984	nom. corrig.	1, p2		783649	774775
Clavibacter	michiganense	tessellarius	34:113*	orthographically incorrect name	(Carlson and Vidaver 1982) Davis et al. 1984	nom. corrig.	1, p		783650	774776
Clostridium	acidiurici		30:277 (AL)	orthographically incorrect name	(Liebert 1909) Barker 1938		1	9a, ATCC 7906, DSM 604	783655	795690
Clostridium	barati		30:277 (AL)	orthographically incorrect name	(Prévot 1938) Holdeman and Moore 1970		2, Z		783658	774832
Clostridium	clostridiiforme		30:278 (AL)	orthographically incorrect name	(Burri and Ankersmit 1906) Kaneuchi et al. 1976		2		783662	774857
Clostridium	fervidus		37:123*	orthographically incorrect name	Patel et al. 1987	nom. corrig. IJSB 48:1073*	1		774877	774359
Clostridium	formicoaceticum		30:279 (AL)	orthographically incorrect name	Andreesen et al. 1970		1		783665	774881
Clostridium	ghoni		30:279 (AL)	orthographically incorrect name	Prévot 1938		2		774885	793947
Clostridium	intestinalis		39:335*	orthographically incorrect name	Lee et al. 1989	nom. corrig. IJSB 48:1074*	1		783667	774903
Clostridium	irregularis		30:280 (AL)	orthographically incorrect name	(Choukevitch 1911) Prévot 1938		1		783668	791851
Clostridium	maximum		66:1012*	comb. nov. (VP), illegitimate name	(Lindner 1888) Lawson and Rainey 2016	illegitimate name (IJSEM 66:4890 – 4894, Taxonomic Note by B. Tindall)	1	K66, ATCC 33910, IMET B 103, DSM 316	793808	780788
Clostridium	purinolyticum		31:192*	orthographically incorrect name	Dürre et al. 1981		1		783672	795691
Clostridium	putrificum		30:282 (AL)	species (AL), rejected name	(Trevisan 1889) Reddish and Rettger 1922	<i>nomen periculosum</i>, Opinion 69; IJSB 45:339	2	ATCC 25784, DSM 1734, NCIB 10677	774963	774963
Clostridium	sardiniensis		30:282 (AL)	orthographically incorrect name	Prévot 1938		2		783673	774976
Clostridium	sartagoformum		30:283 (AL)	orthographically incorrect name	Partansky and Henry 1935		1, +		783674	774977
Clostridium	thermoaceticum		30:284 (AL)	orthographically incorrect name	Fontaine et al. 1942		1		783676	778305
Clostridium	thermoautotrophicum		32:384	orthographically incorrect name	Wiegel et al. 1982		1		783677	778306
Clostridium	thermosulfurogenes		33:896	orthographically incorrect name	Schink and Zeikus 1983		1		783679	782527
Clostridium	ventriculi		66:1013*	comb. nov. (VP), illegitimate name	(Goodsir 1842) Lawson and Rainey 2016	illegitimate name (IJSEM 66:4890- 4894, Taxonomic Note by B. Tindall)	1	ATCC 19633, ATCC 29068, BCRC 15563, DSM 286, NCTC 12966	793811	780795
Colwellia	psychroerythrus		38:328	orthographically incorrect name	(ex D'Aoust and Kushner 1972) Deming et al. 1988	nom. corrig. IJSB 48:1073*	1		783685	775071
Corynebacterium	tuscaniae		56:2025	orthographically incorrect name	Riegel et al. 2006		1, +		785498	785465
Corynebacterium	variabilis		37:287*	orthographically incorrect name	(Müller 1961) Collins 1987	nom. corrig. IJSB 48:1073*	1		783701	775267
Cyclobacterium	marinus		40:346*	orthographically incorrect name	(Raj 1976) Raj and Maloy 1990		1		783718	775347
Defluvibacter	lusatiae		49:1325	orthographically incorrect name	Fritsche et al. 1999	nom. corrig.: IJSB 49:1325	1		783723	788110
Defluvicoccus			55:2109*	orthographically incorrect name	Maszenan et al. 2005				517218	515477
Defluvicoccus	vanus		55:2109*	orthographically incorrect name	Maszenan et al. 2005		1		783724	775448
Desulfobacter	giganteus		38:328	orthographically incorrect name	Esnault et al. 1988	error in List No 26; should read Desulfovibrio	1	8601, DSM 4123	783729	775681
Desulfomicrobium	baculatus		44:370	orthographically incorrect name	(Rozanova and Nazina 1984) Rozanova et al. 1994	nom. corrig. IJSB 48:1073*	1		783730	775583
Desulforhabdus	amnigenus		47:1274	orthographically incorrect name	Oude Elferink et al. 1997		1		783732	775604
Desulfosarcina	cetonicum		56:2	orthographically incorrect name	(Galushko and Rozanova 1994) Kuever et al. 2006		1		783733	775608
Desulfovibrio	alcoholovorans		45:879	orthographically incorrect name	Qatibi et al. 1995	nom. corrig.: IJSB 49:639*	1		783736	775656
Desulfovibrio	fructosovorans		40:105	orthographically incorrect name	Ollivier et al. 1990	nom. corrig.: IJSB 49:639*	1		783739	775679
Dictyoglomus	turgidus		45:879	orthographically incorrect name	Svetlichny and Svetlichnayà 1995	nom. corrig. IJSB 48:1073*	1		783745	775775
Edwardsiella	anguillimortifera		30:292 (AL)	species (AL), illegitimate name, homotypic syn.	(Hoshina 1962) Sakazaki and Tamura 1975	Type (description and illustration by Hoshina (1962) not the same as of <i>Edwardsiella tarda</i>; illegitimate name (IJSEM 66:4910-4912, Taxonomic Note by B. Tindall)	2, ht	ATCC 15947	783754	775882
