Acetobacter	aceti	xylinum
Thialkalivibrio	halophilus	
Thialkalivibrio	jannaschii	
Thialkalivibrio	nitratireducens	
Thialkalivibrio	nitratis	
Thialkalivibrio	paradoxus	
Thialkalivibrio	thiocyanoxidans	
Thialkalivibrio	versutus	
Thiorhodococcus	minus	
Tsukamurella	paurometabolum	
Tsukamurella	strandjordae	
Verticia		
Verticia	sediminum	
Vibrio	cyclotrophicus	
Vibrio	shiloi	
Virgosporangium		
Virgosporangium	aurantiacum	
Virgosporangium	ochraceum	
Xenorhabdus	japonicus	
Xenorhabdus	nematophilus	
Xenorhabdus	nematophilus	beddingii
Xenorhabdus	nematophilus	bovienii
Xenorhabdus	nematophilus	nematophilus
Xenorhabdus	nematophilus	poinarii
Yania		
Yania	flava	
Yania	halotolerans	
Zimmermannella		
Zobellia	galactanovorans	
